Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1833,Lake Mary,"4300 W Lake Mary Blvd, Ste 1040",Lake Mary,FL,32746,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,3,"2,500", 2000-2500 ,,Open,Acquisition - Noble Comm,,x,x,3,,,,,,,,,,,,,
1834,Roosevelt Blvd,5507 Roosevelt Blvd,Jacksonville,FL,32244,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,7/10/2017,Closed,Acquisition - Noble Comm,,,,5,,,,,,,,,,,,,
1835,Murabella,"124 Tuscan Way, Ste 102",Saint Augustine,FL,32092,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,4,975, 500-1000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1836,Cobblestone,"2771 Monument Rd, Ste 36",Jacksonville,FL,32225,South Market,Florida Region,Jacksonville,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Mario Purifoy,,Acquisition,Noble Comm,5,810, 500-1000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1837,Countryside Mall,"27001 US Hwy 19 N, Ste 1055",Clearwater,FL,33761,South Market,Florida Gulf Region,North Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Stephen Stilwell,,Acquisition,Noble Comm,4,632, 500-1000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1838,Clearwater,21561 US Hwy 19 N,Clearwater,FL,33765,South Market,Florida Gulf Region,North Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Stephen Stilwell,,Acquisition,Noble Comm,3,"1,400", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1839,St Johns,"2220 CR 210, Ste 308",Jacksonville,FL,32259,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,5,"1,400", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1840,Tarpon Springs,40743 US Hwy 19 N,Tarpon Springs,FL,34689,South Market,Florida Gulf Region,North Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Stephen Stilwell,,Acquisition,Noble Comm,3,"2,250", 2000-2500 ,,Open,Acquisition - Noble Comm,,x,x,3,,,,,,,,,,,,,
1841,Fernandina Beach,1454 Sadler Rd,Fernandina Beach,FL,32034,South Market,Florida Region,Jacksonville,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Mario Purifoy,,Acquisition,Noble Comm,5,"1,500", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1842,Weston,4444 Weston Rd,Weston,FL,33331,South Market,Florida Region,Miami,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Joseph Deprizio,,Acquisition,Noble Comm,3,"1,125", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
