"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","1411 Lombard","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","1411","Lombard","18 W 435 Roosevelt Rd","Lombard, IL 60148","2480","$4,072.16","1/31/2020","74","86","1107","$830.47","H9PX6","https://www.dropbox.com/s/bo242m47d354d5p/1411%20Lombard%20Outside.jpg?dl=0","https://www.dropbox.com/s/tvxqe1djz8vlkya/1411%20Lombard%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","10/21/2015","YES","0","11","0","NO","","Installed","3","YES","1","2","NO","","110",""
"","2102 Bolingbrook","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2102","Bolingbrook","1233 W Boughton Rd","Bolingbrook, IL 60440","1734","$4,266.14","10/31/2018","126","129","1594","$19,673.80","KPXTK","https://www.dropbox.com/s/zbl3id7cxgvmzk4/2102%20Boilingbrook%20Outside.png?dl=0","","DES1","Inline Strip","Complete","","YES","4","12","0","NO","","Installed","3","YES","1","1","NO","NO","",""
"","2113 Dekalb","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2113","Dekalb","2205 Sycamore Rd","Dekalb, IL 60115","1875","$4,101.56","10/30/2020","116","108","1252","$11,196.03","P83VL","https://www.dropbox.com/s/urvvseg5e6zqzn1/2113%20Dekalb%20Outside.jpg?dl=0","https://www.dropbox.com/s/wsdollkzo3r49ch/2113%20Deklab%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/15/2017","NO","2","12","1","NO","","Installed","3","YES","0","0","NO","YES","",""
"","2121 Naperville","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2121","Naperville","2936 Showplace Dr","Naperville, IL 60564","1844","$4,880.82","1/31/2019","185","141","1347","$16,372.35","4302B","https://www.dropbox.com/s/pny6ltrfkjq38f0/2121%20Naperville%20Outside.png?dl=0","","DES1","Inline Strip","Complete","","YES","0","12","0","NO","","Installed","3","YES","0","0","NO","NO","",""
"","2128 Saint Charles","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2128","Saint Charles","3817 E Main St","Saint Charles, IL 60174","2312","$7,079.22","11/30/19","64","83","843","$831.23","2WL6O","https://www.dropbox.com/s/p604i8ziajsklly/2128%20Saint%20Charles%20Outside.png?dl=0","https://www.dropbox.com/s/bik2xovf0soqeg2/2128%20St%20Charles%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","12","0","NO","","Denied","3","YES","1","0","NO","NO","",""
"","2603 Yorktown Shopping Center","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2603","Yorktown Shopping Center","203 Yorktown Shopping Center Suite 350","Lombard, IL 60148","2328","$8,275.48","1/31/20","113","127","1322","$1,227.55","QMNW2","https://www.dropbox.com/s/l1xx3ttbpwxzpbw/2603%20Yorktown%20Outside.jpg?dl=0","https://www.dropbox.com/s/icat725fm9kdzky/2603%20Yorktown%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","0","12","0","NO","","Denied","2","YES","0","0","NO","","",""
"","2605 Chicago Neltnor","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2605","Chicago Neltnor","159 Neltnor","West Chicago, IL 60185","2664","$5,928.20","2/29/2020","65","75","1347","$1,309.71","7J9YS","https://www.dropbox.com/s/0vjli7vf8kqhdrq/2605%20Chicago%20Neltnor%20Outside.png?dl=0","https://www.dropbox.com/s/ph2cwfcdhh33ouf/2605%20Chicago%20Neltnor%20Inside.png?dl=0","DES1","Inline Strip","","","YES","2","12","0","27 Panel","","Installed","5","YES","0","0","NO","","",""
"","2606 Wheaton","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2606","Wheaton","109 W Geneva Rd","Wheaton, IL 60189","3000","$8,671.00","10/31/2019","115","101","1293","$1,611.57","YR2UO","https://www.dropbox.com/s/62747yysuva3c8o/2606%20Wheaton%20Outside.png?dl=0","https://www.dropbox.com/s/iw0q6pmde78ooho/2606%20Wheaton%20Inside.png?dl=0","DES1","Inline Strip","","","YES","2","13","0","27 Panel","","Denied","6","YES","0","0","NO","","",""
"","2629 Montgomery IL","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","2629","Montgomery IL","2003 Orchard Rd","Montgomery, IL 60538","2172","$7,900.00","11/30/2021","144","115","1256","$540.30","0TWSZ","https://www.dropbox.com/s/2ngiigygx4fx52w/2629%20Montogmery%20IL%20outside.jpg?dl=0","https://www.dropbox.com/s/pkgt1zwqjdg7dk4/2629%20Montogmery%20IL%20inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/8/2016","NO","2","11","0","NO","","Installed","4","YES","1","2","NO","","195",""
"","467 Bradley","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","467","Bradley","940 N Kinzie","Bradley, IL 60915","3000","$4,375.00","10/31/2018","165","174","1743","$12,650.72","USC7K","https://www.dropbox.com/s/ez81w9z3n7ctr82/467%20Bradley.jpg?dl=0","https://www.dropbox.com/s/iikj5pdci0cm8je/467%20Bradley%20Inside.jpg?dl=0","GEN","End Cap Strip","Complete","","YES","0","11","0","NO","","Installed","0","NO","1","2","NO","","","Sell wall includes prepay fixture"
"","480 LaPorte","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","480","LaPorte","1406 E Lincolnway Suite C","LaPorte, IN 46350","2250","$4,425.00","11/30/2021","162","180","1952","$12,178.70","IH6R3","https://www.dropbox.com/s/yx1wwcc0wjol19q/480%20La%20Porte%20Outside.jpg?dl=0","https://www.dropbox.com/s/8kpdsub60upuwsx/480%20La%20Porte%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","11/30/2016","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","68",""
"","481 Merrillville","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","481","Merrillville","2304 Southlake Mall","Merrillville, IN 46410","120","$12,194.58","1/31/2026","151","139","3499","$11,070.13","3XI92","https://www.dropbox.com/s/ghlwm6n4r0oemcr/481%20Merrillville%20Outside.jpg?dl=0","https://www.dropbox.com/s/jf5kpgdkdmn88v5/481%20Merrillville%20Inside%202.jpg?dl=0","DES1","Mall","Complete","1/8/2016","YES","0","11","0","NO","","Pending","3","YES","0","1","NO","","",""
"","482 Portage","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","482","Portage","6441 US Hwy 6","Portage, IN 46368","2060","$5,426.75","9/30/2019","209","253","2393","$13,685.49","QAN7J","https://www.dropbox.com/s/lp128mb616bib1y/482%20Portage.jpg?dl=0","https://www.dropbox.com/s/57wyizca0qivvo9/482%20Portage%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","10/30/2015","YES","2","11","0","NO","","Installed","3","YES","0","0","NO","","",""
"","483 Valparaiso","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","483","Valparaiso","150 Silhavy Rd #100","Valparaiso, IN 46383","3007","$6,948.68","1/31/2021","385","350","2891","$14,684.98","2ZHDM","https://www.dropbox.com/s/zc0ngkabuwx54gs/483%20Valparaiso%20Outside.jpg?dl=0","https://www.dropbox.com/s/qdr1rxw48gduwhv/483%20Valparaiso%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","1/6/2016","YES","2","14","0","NO","","Installed","3","YES","1","1","NO","","108",""
"","484 Schererville","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","484","Schererville","1150 C US Hwy 41","Schererville, IN 46375","2170","$5,506.38","11/30/2020","240","240","2317","$12,936.03","RE88U","https://www.dropbox.com/s/u4433c4qcof8soh/484%20Schererville.jpg?dl=0","","DES1","End Cap Strip","Complete","11/18/2015","YES","2","11","0","NO","","Pending","3","YES","0","1","NO","","132",""
"","485 Munster","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","485","Munster","7940 Calumet Ave","Munster, IN 46321","1433","$3,660.13","9/30/19","221","221","2720","$3,955.83","T930F","https://www.dropbox.com/s/88i1d4rpvqizthg/485%20Munster.jpg?dl=0","https://www.dropbox.com/s/uynmfsl9vfhk3gb/485%20Munster%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","9/3/2014","YES","2","11","0","NO","","Installed","2","YES","0","1","NO","","","12 selling walls with iPhone display"
"","2103 Northfield Square Mall","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","2103","Northfield Square Mall","1600 N State Route 50 #110","Bourbonnais, IL 60915","2045","$7,169.04","12/31/18","125","144","2637","$18,916.94","9MQT8","https://www.dropbox.com/s/ib2ftn1ub1pxr6u/2103%20Northfield%20Square%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/2ublq1k01g4xdlz/2103%20Northfield%20Square%20Mall%20Inside.jpg?dl=0","DES2","Mall","Complete","","YES","0","10","0","NO","","Pending","0","NO","1","1","NO","","",""
"","2120 Chicago Heights","CENTRAL","GREATER LAKES","Central","Chicago","Illiana","2120","Chicago Heights","20923 S Western Ave","Chicago Heights, IL 60411","2125","$7,083.00","7/31/22","100","110","2233","$20,356.12","I8PUV","https://www.dropbox.com/s/3jx0tfhyj9iqtz8/2120%20Chicago%20Heights%20Outside.jpg?dl=0","https://www.dropbox.com/s/2sxq2hmfnyzoisg/2120%20Chicago%20Heights%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/26/2017","NO","","13","1","NO","","Installed","3","YES","0","0","NO","","",""
"","2325 Harrisonville","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2325","Harrisonville","1601 N State St Route 291 Hwy","Harrisonville, MO 64701","2400","$5,500.00","11/30/24","125","135","1987","$6,312.00","573ZS","","","DES1","End Cap Strip","Complete","11/15/2017","NO","","11","1","NO","","Pending","6","YES","0","0","NO","","",""
"","2607 Olathe","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2607","Olathe","13536 S Alden St","Olathe, KS 66062","1815","$5,220.00","4/30/20","81","81","1159","$12,721.38","HDETJ","https://drive.google.com/a/springmobile.com/file/d/0B6k_1DutwTVKcXhtYjhmTm9CSGM/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B6k_1DutwTVKYjh6WjFIQUZuWW8/view?usp=sharing","GEN","End Cap Strip","","","YES","0","8","0","NO","","Installed","0","NO","1","1","NO","","",""
"","2608 North Kansas City","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2608","North Kansas City","2516 NE Vivion Rd","Kansas City, MO 64118","2600","$5,853.82","2/28/21","108","121","2454","$11,000.03","JKRY6","https://drive.google.com/a/springmobile.com/file/d/0B4--sqf3aYtQN2JMVUNEYk5tQUE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B4--sqf3aYtQZHJIWHYwNVJrc1E/view?usp=sharing","DES1","End Cap Strip","","","YES","0","12","0","NO","","Installed","4","YES","1","3","NO","","",""
"","2609 Maryville","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2609","Maryville","1105 S Main St","Maryville, MO 64468","3250","$9,167.50","12/31/26","115","118","1590","$7,325.43","TA382","https://drive.google.com/a/springmobile.com/file/d/0BxGbPnuvrViNQVBFOFU5X3NENFk/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BxGbPnuvrViNQjRKWmtHbTRHbHc/view?usp=sharing","GEN","Stand Alone","","","YES","2","11","0","27 Panel","","Installed","5","YES","2","2","NO","","",""
"","2610 Kansas City State Line","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2610","Kansas City State Line","8427 State Line Rd","Kansas City, MO 64114","2567","$9,263.00","7/31/22","189","134","1697","$42,759.48","JOXTZ","https://drive.google.com/a/springmobile.com/file/d/0B-oQyobHqy-2ZHZaZ2l4NFpCaEk/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B-oQyobHqy-2ZXgxdHBWQllLLWs/view?usp=sharing","DES1","End Cap Strip","Complete","8/1/2017","NO","","11","1","NO","","Pending","6","YES","0","0","NO","","",""
"","2611 East Hills Mall","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2611","East Hills Mall","3702 Frederick Blvd Suite 6A","St Joseph, MO 64506","909","$3,428.87","10/31/17","226","149","3439","$12,918.64","QU7PE","https://drive.google.com/a/springmobile.com/file/d/0BxGbPnuvrViNZlIzV0xaaGhlUFE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BxGbPnuvrViNb2NGeWg4LVhLRmM/view?usp=sharing","GEN","Mall","","","YES","0","9","0","NO","","Denied","0","NO","1","1","NO","","",""
"","2619 Blue Ridge Crossing","CENTRAL","MID STATES","Central","Greater Midwest","Kansas City","2619","Blue Ridge Crossing","4281 Sterling Ave","Kansas City, MO 64133","2184","$5,944.06","1/31/21","92","105","1998","$6,668.73","E80XF","","","DES1","End Cap Strip","","","YES","0","14","0","27 Panel","","","6","YES","1","1","NO","","",""
"","2523 Derby Rock Road","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2523","Derby Rock Road","2600 N Rock Rd","Derby, KS 67037","2650","$7,200.00","10/31/24","172","186","2450","$11,631.02","EGHHJ","","","DES1","Stand Alone","Complete","11/6/2017","NO","","11","0","NO","","Installed","6","YES","0","0","NO","","",""
"","2526 El Dorado","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2526","El Dorado","2733 W Central Ave Suite G","El Dorado, KS 67042","2920","$5,346.04","8/23/21","117","117","1692","$6,574.22","MEBLQ","https://www.dropbox.com/s/bgmp4dkxmybuenq/2526%20El%20Dorado%20Outside.jpg?dl=0","https://www.dropbox.com/s/y5dn35losasjnj4/2526%20El%20Dorado%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","9/30/2016","YES","2","14","1","NO","","Pending","6","YES","0","0","NO","","44",""
"","2527 Emporia","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2527","Emporia","2210 Industrial Rd","Emporia, KS 66801","2600","$7,332.00","8/31/24","41","48","1506","$5,938.64","6UETS","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_SHBYcDNrMHZhenc/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_NW1vUUsyYm5zWTg/view?usp=sharing","DES1","Stand Alone","Complete","8/30/2017","NO","","11","1","NO","","Installed","6","YES","0","0","NO","","",""
"","2531 Wichita 21st Street","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2531","Wichita 21st Street","1981 W 21st St N Suite 107","Wichita, KS 67203","3000","$6,480.51","2/29/2024","97","115","2430","$1,712.93","UXXVF","https://www.dropbox.com/s/9jd35wcf7zzpx47/2531%2021ST%20Outside.jpg?dl=0","https://www.dropbox.com/s/p1qx76kzof0b7qx/2531%2021ST%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","13","0","NO","","Installed","6","YES","1","2","NO","","",""
"","2532 Eastgate Plaza","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2532","Eastgate Plaza","448 S Rock Rd","Wichita, KS 67207","2625","$6,604.07","2/28/21","96","121","1720","$7,079.92","M45OW","","https://www.dropbox.com/s/jjzvwy6cls94py3/2532%20EASTGATE%20Inside.%20JPG.jpg?dl=0","DES1","End Cap Strip","","","YES","2","13","0","NO","","Installed","6","YES","1","1","NO","","",""
"","2533 Wichita Greenwich","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2533","Wichita Greenwich","2413 N Greenwich Rd Suite 101","Wichita, KS 67226","2500","$7,558.58","11/30/20","118","112","1499","$1,048.07","QFQHS","https://www.dropbox.com/s/perqerwz0ezc5x5/2533%20GREENWICH%20Outside.jpeg?dl=0","https://www.dropbox.com/s/fo9fgl1awoh69hf/2533%20GREENWICH%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","13","0","27 Panel","","Installed","6","YES","1","1","NO","","",""
"","2534 Wichita Kellogg Road","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2534","Wichita Kellogg Road","6866 W Kellogg Rd","Wichita, KS 67209","1400","$2,631.40","10/31/16","62","61","1045","$9,026.01","G0FH2","https://www.dropbox.com/s/m2jl5qow8ku9jmq/2534%20KELLOGG%20RD%20outside.jpg?dl=0","https://www.dropbox.com/s/j9hxtrjgrjefsb9/2534%20KELLOGG%20RD%20Inside.jpg?dl=0","ARS","Inline Strip","","","YES","2","7","0","NO","","Denied","0","NO","0","1","NO","","",""
"","2535 Wichita Towne West","CENTRAL","MID STATES","Central","Greater Midwest","Kansas East","2535","Wichita Towne West","583 S W St Suite A","Wichita, KS 67213","1600","$3,626.75","3/31/19","79","80","1361","$6,863.01","QJ2FO","https://www.dropbox.com/s/ycftt5xn03xdma5/2535%20TOWNE%20WEST%20Outside.jpg?dl=0","https://www.dropbox.com/s/9hmxb5ueczvvxqv/2535%20Towne%20West%20Inside.jpg?dl=0","ARS","End Cap Strip","","","YES","2","11","0","NO","","Pending","0","NO","0","1","NO","","",""
"","2524 Hays","CENTRAL","MID STATES","Central","Greater Midwest","Kansas West","2524","Hays","4315 Vine St Suite 10","Hays, KS 67601","2500","$5,375.00","10/31/20","83","107","1244","$1,838.33","TNTPH","https://drive.google.com/a/springmobile.com/file/d/0B60I4NEEAL47VXN1LTVicVhRNkE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B60I4NEEAL47QkxUQ1JaclZyTGM/view?usp=sharing","DES1","End Cap Strip","","","YES","0","11","0","27 Panel","","Installed","6","YES","1","0","NO","","",""
"","2525 Dodge City","CENTRAL","MID STATES","Central","Greater Midwest","Kansas West","2525","Dodge City","1520 W Wyatt Earp Blvd","Dodge City, KS 67801","1928","$3,500.00","8/31/19","140","157","3739","$2,501.59","A3GE2","https://drive.google.com/a/springmobile.com/file/d/0B1D6GP0RruCjQ0JrbHZacklfcW8/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B1D6GP0RruCjay0yNldxMTJ6YzQ/view?usp=sharing","ARS","Stand Alone","","","YES","2","10","0","NO","","Installed","0","YES","2","1","YES","","",""
"","2528 Great Bend","CENTRAL","MID STATES","Central","Greater Midwest","Kansas West","2528","Great Bend","3407 10th St Suite A","Great Bend, KS 67530","2500","$3,472.08","8/31/19","75","98","1821","$3,635.83","9L6AX","","","DES1","End Cap Strip","","","YES","2","12","0","NO","","Installed","3","YES","1","0","NO","","",""
"","2529 Hutchinson KS","CENTRAL","MID STATES","Central","Greater Midwest","Kansas West","2529","Hutchinson KS","1716 N Waldron St","Hutchinson, KS 67501","2901","$12,728.53","6/30/25","109","118","1968","$7,830.04","A6YSA","https://drive.google.com/a/springmobile.com/file/d/0B_PZGLww4Y7SM2NpbFlHeUx1cHc/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B_PZGLww4Y7SR2xwM05vOUhZQ3c/view?usp=sharing","DES1","Stand Alone","","","YES","2","12","0","NO","","Denied","6","YES","1","0","NO","","",""
"","2530 Salina","CENTRAL","MID STATES","Central","Greater Midwest","Kansas West","2530","Salina","2629 Market Place Suite C","Salina, KS 67401","2960","$6,533.33","8/31/17","93","109","1717","$3,328.70","A66OC","https://drive.google.com/a/springmobile.com/file/d/0Bzu3uB1GfhOITEpSQmJxMm9oWTg/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0Bzu3uB1GfhOIMFFyT1JDbFg3Nm8/view?usp=sharing","DES1","End Cap Strip","","","YES","2","12","0","27 Panel","","Installed","6","YES","1","0","NO","","",""
"","2316 Booneville MO","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2316","Booneville MO","419 E Ashley Rd","Boonville, MO 65233","1893","$6,750.00","7/31/23","177","199","3158","$6,388.22","ORBLT","https://www.dropbox.com/s/w4z3va11o1h88wv/2316%20Booneville%20MO%20Outside.jpg?dl=0","https://www.dropbox.com/s/10hjp52vwenwxbd/2316%20Boonville%20MO%20Inside.jpg?dl=0","DES1","Stand Alone","","","YES","2","11","0","NO","","Installed","6","YES","1","2","NO","","",""
"","2320 Columbia","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2320","Columbia","911 Rain Forest Pkwy","Columbia, MO 65202","1750","$3,830.91","5/31/20","72","86","1485","$5,490.82","RLAV3","https://www.dropbox.com/s/bbgf6jrgsy00zc2/2320%20Columbia%20Outside.jpg?dl=0","https://www.dropbox.com/s/jo7y25gma6gfh8f/2320%20Columbia%20Inside.jpg?dl=0","ARS","Stand Alone","","","YES","2","7","0","NO","","Installed","0","NO","0","2","NO","","",""
"","2322 Fulton","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2322","Fulton","1705 N Bluff St Suite 1","Fulton, MO 65251","2800","$4,946.67","11/3/20","254","224","2947","$6,834.36","AMG0D","https://www.dropbox.com/s/dmjrvyrlcacsy7i/2322%20Fulton%20Outside.jpg?dl=0","https://www.dropbox.com/s/5k1cgklgpjh4ldf/2322%20Fulton%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","12","0","27 Panel","","Pending","6","YES","1","2","NO","","",""
"","2333 Sullivan","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2333","Sullivan","795 Eagles Court","Sullivan, MO 63080","1480","$7,500.00","3/31/27","239","236","2727","$6,404.89","EA63V","https://drive.google.com/a/springmobile.com/file/d/0B4R0ks_AjfO_dWF5RjBOQk9wclU/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B4R0ks_AjfO_bUtPWmpaTzJ0dnc/view?usp=sharing","DES1","End Cap Strip","","4/5/2017","NO","","","1","NO","","Installed","","","","","NO","","38",""
"","2617 Columbia Bernadette","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2617","Columbia Bernadette","2300 Bernadette Dr Space 604","Columbia, MO 65203","1161","$8,140.70","3/31/2022","99","91","2350","$8,655.62","DDAKG","","","DES1","Mall","Complete","3/29/2017","NO","","7","1","NO","","Pending","0","NO","1","0","NO","","160",""
"","2618 Warrenton MO","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2618","Warrenton MO","515 Anwijo Way","Warrenton, MO 63383","3000","$7,621.78","5/7/2021","222","254","2906","$10,493.47","W28M9","https://drive.google.com/a/springmobile.com/file/d/0B68juY25sLTGVzF6czA1TFpQcE0/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B68juY25sLTGMGxNbUphNk0wOGM/view?usp=sharing","DES1","Stand Alone","","","YES","2","12","0","NO","","Installed","6","YES","1","2","NO","","",""
"","2621 Union","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2621","Union","24 Silo Dr","Union, MO 63084","3000","$8,250.00","12/31/2027","251","244","3158","$17,445.58","6FYZA","https://drive.google.com/a/springmobile.com/file/d/0B25Q0cAgo4MgblM1R21rZ0VDR28/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B25Q0cAgo4MgR1UtWjhEMXhXRnc/view?usp=sharing","DES1","Stand Alone","Complete","12/16/2016","NO","2","11","1","NO","","Installed","5","YES","0","0","NO","","29",""
"","2622 Columbia Trimble Road","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2622","Columbia Trimble Road","2910 Trimble Rd Suite 101","Columbia, MO 65201","3082","$8,465.22","1/31/20","280","320","2931","$13,410.71","42ISP","https://drive.google.com/a/springmobile.com/file/d/0B2Ws--B7hlc2Zm5fWUtkNWNmVTQ/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B2Ws--B7hlc2QVdQRU9YZ2pJQkU/view?usp=sharing","DES1","End Cap Strip","","","YES","0","13","0","27 Panel","","Denied","6","YES","1","1","NO","","",""
"","2623 Marshall","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2623","Marshall","1251 S Cherokee Dr Suite 1 and 2","Marshall, MO 65340","2760","$2,847.40","12/31/2019","108","120","1996","$9,734.23","C2P0Z","https://drive.google.com/a/springmobile.com/file/d/0B1XYZ45oM8dXWi1SbUZ2ZFpaMzQ/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B1XYZ45oM8dXMlJ0eU1naDNSUDQ/view?usp=sharing","DES1","End Cap Strip","","","YES","2","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2624 Mexico MO","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2624","Mexico MO","3622 S Clark","Mexico, MO 65265","1537","$1,915.06","12/31/2017","116","144","1482","$9,653.37","7EG2C","https://drive.google.com/a/springmobile.com/file/d/0B_bmMEoHMi7rdkh6WEpKRTJhUVE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B_bmMEoHMi7rZG9JMks4TFM3cGs/view?usp=sharing","GEN","End Cap Strip","","","YES","0","12","0","NO","","Installed","0","NO","0","1","NO","","",""
"","2625 Moberly","CENTRAL","MID STATES","Central","Greater Midwest","Mid MO","2625","Moberly","1625 N Morley St Suite C","Moberly, MO 65270","2000","$2,186.66","1/31/19","46","71","1382","$9,992.68","WFVCZ","https://drive.google.com/a/springmobile.com/file/d/0B9XnZ5jwJKovVjMzRkZKZEtMWUU/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B9XnZ5jwJKovWVVrampydF9lNkE/view?usp=sharing","GEN","End Cap Strip","","","YES","2","8","0","NO","","Installed","0","NO","0","0","NO","","",""
"","2317 Camdenton","CENTRAL","MID STATES","Central","Greater Midwest","Missouri Central","2317","Camdenton","770 E Hwy 54 Suite A","Camdenton, MO 65020","3147","$4,064.88","8/31/18","256","269","3270","$7,879.05","H5ZMJ","https://www.dropbox.com/s/smy6ipaaief20x0/2317%20Camdenton%20Outside.jpg?dl=0","https://www.dropbox.com/s/nzgga8pdq52yhn0/2317%20Camdenton%20Inside.jpg?dl=0","DES1","Stand Alone","","","YES","3","11","0","NO","","Installed","2","YES","0","2","NO","","",""
"","2319 Clinton MO","CENTRAL","MID STATES","Central","Greater Midwest","Missouri Central","2319","Clinton MO","1406 E Franklin St","Clinton, MO 64735","1700","$3,900.00","7/31/2023","188","183","2379","$7,464.95","TSLZQ","https://www.dropbox.com/s/3inztefo6f81hp4/2319%20Clinton%20MO%20Outside.jpg?dl=0","https://www.dropbox.com/s/scigcdkjelr1p4b/2319%20Clinton%20MO%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","10","0","NO","","Installed","6","YES","1","1","NO","","",""
"","2321 Eldon","CENTRAL","MID STATES","Central","Greater Midwest","Missouri Central","2321","Eldon","901 S Aurora St Suite A","Eldon, MO 65026","1296","$1,158.84","8/31/2019","148","185","2247","$6,592.18","A9LBI","https://www.dropbox.com/s/pqnbmibqsps874h/2321%20Eldon%20Outside.jpg?dl=0","https://www.dropbox.com/s/bv4zfvzwavk29pc/2321%20Eldon%20Inside.jpg?dl=0","ARS","End Cap Strip","","","YES","0","5","0","NO","","Installed","0","NO","0","1","NO","","",""
